date,98,95,91,diesel
Dec 2018,2.25,2.15,2.05,2.61
Nov 2018,2.57,2.46,2.38,2.87
Oct 2018,2.61,2.5,2.41,2.76
Sep 2018,2.59,2.48,2.4,2.64
Aug 2018,2.57,2.46,2.38,2.63
Jul 2018,2.56,2.45,2.37,2.66
Jun 2018,2.63,2.51,2.44,2.71
May 2018,2.49,2.37,2.3,2.56
Apr 2018,2.33,2.22,2.14,2.4
Mar 2018,2.33,2.22,2.14,2.43
Feb 2018,2.36,2.25,2.17,2.49
Jan 2018,2.24,2.12,2.05,2.33
Dec 2017,2.15,2.04,1.97,2.2
Nov 2017,2.03,1.92,1.85,2.11
Oct 2017,2.12,2.01,1.94,2.1
Sep 2017,2.01,1.9,1.83,2
Aug 2017,1.89,1.78,1.71,1.88
Jul 2017,1.86,1.75,1.68,1.84
Jun 2017,1.96,1.85,1.78,1.9
May 2017,2.01,1.9,1.83,1.97
Apr 2017,1.95,1.84,1.77,1.95
Mar 2017,2.03,1.92,1.85,2.02
Feb 2017,2,1.89,1.82,2
Jan 2017,1.91,1.8,1.73,1.94
Dec 2016,1.8,1.69,1.62,1.81
Nov 2016,1.9,1.79,1.72,1.91
Oct 2016,1.81,1.7,1.63,1.76
Sep 2016,1.75,1.64,1.57,1.72
Aug 2016,1.73,1.62,1.55,1.76
Jul 2016,1.88,1.77,1.7,1.85
Jun 2016,1.86,1.75,1.68,1.77
May 2016,1.78,1.67,1.6,1.6
Apr 2016,1.62,1.51,1.44,1.56
Mar 2016,1.47,1.36,1.29,1.4
Feb 2016,1.58,1.47,1.4,1.37
Jan 2016,1.69,1.58,1.51,1.61
